	Over	Runs	Wickets
0	1.0	3.0	0.0
1	2.0	18.0	0.0
2	3.0	6.0	0.0
3	4.0	23.0	0.0
4	5.0	10.0	0.0
5	6.0	1.0	1.0
6	7.0	7.0	0.0
7	8.0	5.0	0.0
8	9.0	4.0	0.0
9	10.0	10.0	0.0
10	11.0	15.0	0.0
11	12.0	10.0	0.0
12	13.0	12.0	1.0
13	14.0	6.0	0.0
14	15.0	24.0	0.0
15	16.0	4.0	0.0
16	17.0	14.0	0.0
17	18.0	7.0	1.0
18	19.0	21.0	0.0
19	20.0	22.0	0.0
20	1.0	4.0	0.0
21	2.0	5.0	1.0
22	3.0	3.0	1.0
23	4.0	4.0	0.0
24	5.0	8.0	1.0
25	6.0	2.0	1.0
26	7.0	7.0	0.0
27	8.0	5.0	1.0
28	9.0	5.0	2.0
29	10.0	8.0	0.0
30	11.0	5.0	0.0
31	12.0	3.0	1.0
32	13.0	11.0	0.0
33	14.0	7.0	1.0
34	15.0	4.0	0.0
35	16.0	1.0	1.0
36	1.0	5.0	0.0
37	2.0	15.0	0.0
38	3.0	7.0	1.0
39	4.0	6.0	0.0
40	5.0	9.0	0.0
41	6.0	11.0	0.0
42	7.0	9.0	1.0
43	8.0	8.0	1.0
44	9.0	13.0	0.0
45	10.0	5.0	0.0
46	11.0	19.0	0.0
47	12.0	20.0	0.0
48	13.0	6.0	1.0
49	14.0	10.0	0.0
50	15.0	18.0	0.0
51	16.0	8.0	1.0
52	17.0	14.0	0.0
53	18.0	17.0	0.0
54	19.0	15.0	0.0
55	20.0	25.0	0.0
56	1.0	9.0	0.0
57	2.0	7.0	0.0
58	3.0	11.0	0.0
59	4.0	10.0	0.0
60	5.0	10.0	0.0
61	6.0	16.0	1.0
62	7.0	6.0	0.0
63	8.0	15.0	0.0
64	9.0	13.0	0.0
65	10.0	13.0	0.0
66	11.0	5.0	1.0
67	12.0	12.0	0.0
68	13.0	14.0	0.0
69	14.0	11.0	0.0
70	15.0	13.0	1.0
71	16.0	11.0	0.0
72	17.0	10.0	0.0
73	18.0	5.0	1.0
74	19.0	7.0	0.0
75	20.0	9.0	0.0
76	1.0	7.0	0.0
77	2.0	10.0	0.0
78	3.0	0.0	1.0
79	4.0	10.0	1.0
80	5.0	6.0	0.0
81	6.0	3.0	0.0
82	7.0	4.0	1.0
83	8.0	4.0	1.0
84	9.0	3.0	0.0
85	10.0	6.0	0.0
86	11.0	2.0	1.0
87	12.0	12.0	0.0
88	13.0	9.0	1.0
89	14.0	7.0	0.0
90	15.0	9.0	1.0
91	16.0	10.0	0.0
92	17.0	4.0	0.0
93	18.0	1.0	1.0
94	19.0	10.0	0.0
95	20.0	8.0	0.0
96	1.0	8.0	0.0
97	2.0	13.0	1.0
98	3.0	5.0	0.0
99	4.0	10.0	0.0
100	5.0	12.0	0.0
101	6.0	7.0	0.0
102	7.0	4.0	0.0
103	8.0	12.0	0.0
104	9.0	7.0	0.0
105	10.0	8.0	0.0
106	11.0	9.0	0.0
107	12.0	5.0	0.0
108	13.0	11.0	0.0
109	14.0	4.0	0.0
110	15.0	13.0	0.0
111	16.0	4.0	0.0
112	1.0	8.0	0.0
113	2.0	5.0	1.0
114	3.0	6.0	0.0
115	4.0	3.0	1.0
116	5.0	19.0	0.0
117	6.0	6.0	1.0
118	7.0	7.0	0.0
119	8.0	6.0	0.0
120	9.0	12.0	0.0
121	10.0	2.0	0.0
122	11.0	7.0	0.0
123	12.0	13.0	0.0
124	13.0	3.0	0.0
125	14.0	2.0	1.0
126	15.0	6.0	0.0
127	16.0	13.0	0.0
128	17.0	11.0	1.0
129	18.0	20.0	0.0
130	19.0	9.0	1.0
131	20.0	7.0	1.0
132	1.0	10.0	0.0
133	2.0	1.0	0.0
134	3.0	11.0	0.0
135	4.0	5.0	0.0
136	5.0	10.0	1.0
137	6.0	3.0	0.0
138	7.0	6.0	0.0
139	8.0	8.0	0.0
140	9.0	15.0	1.0
141	10.0	7.0	1.0
142	11.0	4.0	0.0
143	12.0	14.0	0.0
144	13.0	10.0	0.0
145	14.0	5.0	1.0
146	15.0	9.0	0.0
147	16.0	8.0	0.0
148	17.0	10.0	0.0
149	18.0	19.0	0.0
150	19.0	8.0	1.0
151	20.0	3.0	0.0
152	1.0	9.0	0.0
153	2.0	5.0	0.0
154	3.0	7.0	0.0
155	4.0	0.0	1.0
156	5.0	2.0	1.0
157	6.0	16.0	0.0
158	7.0	6.0	0.0
159	8.0	2.0	0.0
160	9.0	1.0	2.0
161	10.0	4.0	0.0
162	11.0	5.0	0.0
163	12.0	2.0	1.0
164	13.0	3.0	0.0
165	14.0	3.0	0.0
166	15.0	12.0	1.0
167	16.0	5.0	0.0
168	17.0	20.0	0.0
169	18.0	3.0	2.0
170	19.0	5.0	2.0
171	1.0	6.0	0.0
172	2.0	10.0	1.0
173	3.0	2.0	1.0
174	4.0	3.0	0.0
175	5.0	2.0	1.0
176	6.0	3.0	0.0
177	7.0	7.0	0.0
178	8.0	1.0	0.0
179	9.0	1.0	0.0
180	10.0	3.0	0.0
181	11.0	11.0	0.0
182	12.0	15.0	0.0
183	13.0	4.0	1.0
184	14.0	9.0	0.0
185	15.0	4.0	0.0
186	16.0	6.0	0.0
187	17.0	3.0	1.0
188	18.0	13.0	0.0
189	19.0	9.0	0.0
190	1.0	1.0	0.0
191	2.0	5.0	0.0
192	3.0	10.0	0.0
193	4.0	8.0	0.0
194	5.0	14.0	1.0
195	6.0	16.0	0.0
196	7.0	5.0	1.0
197	8.0	11.0	1.0
198	9.0	3.0	1.0
199	10.0	9.0	0.0
200	11.0	3.0	0.0
201	12.0	12.0	0.0
202	13.0	4.0	0.0
203	14.0	11.0	0.0
204	15.0	3.0	0.0
205	16.0	13.0	0.0
206	17.0	8.0	1.0
207	18.0	2.0	2.0
208	19.0	11.0	1.0
209	20.0	17.0	0.0
210	1.0	6.0	0.0
211	2.0	7.0	1.0
212	3.0	15.0	1.0
213	4.0	14.0	0.0
214	5.0	6.0	1.0
215	6.0	5.0	0.0
216	7.0	7.0	0.0
217	8.0	5.0	0.0
218	9.0	11.0	0.0
219	10.0	11.0	0.0
220	11.0	12.0	0.0
221	12.0	3.0	1.0
222	13.0	12.0	0.0
223	14.0	13.0	0.0
224	15.0	15.0	0.0
225	16.0	10.0	0.0
226	17.0	2.0	0.0
227	18.0	10.0	0.0
228	19.0	4.0	0.0
229	1.0	1.0	0.0
230	2.0	8.0	1.0
231	3.0	6.0	0.0
232	4.0	1.0	0.0
233	5.0	7.0	0.0
234	6.0	2.0	1.0
235	7.0	9.0	0.0
236	8.0	2.0	1.0
237	9.0	7.0	0.0
238	10.0	2.0	1.0
239	11.0	9.0	0.0
240	12.0	6.0	0.0
241	13.0	2.0	1.0
242	14.0	6.0	0.0
243	15.0	5.0	0.0
244	16.0	9.0	0.0
245	17.0	8.0	1.0
246	18.0	26.0	0.0
247	19.0	12.0	1.0
248	20.0	14.0	1.0
249	1.0	4.0	0.0
250	2.0	14.0	0.0
251	3.0	12.0	0.0
252	4.0	2.0	1.0
253	5.0	5.0	0.0
254	6.0	11.0	0.0
255	7.0	7.0	0.0
256	8.0	5.0	0.0
257	9.0	23.0	0.0
258	10.0	12.0	0.0
259	11.0	5.0	0.0
260	12.0	12.0	0.0
261	13.0	30.0	0.0
262	14.0	1.0	0.0
263	1.0	7.0	0.0
264	2.0	9.0	0.0
265	3.0	18.0	0.0
266	4.0	1.0	1.0
267	5.0	5.0	1.0
268	6.0	13.0	0.0
269	7.0	6.0	0.0
270	8.0	5.0	0.0
271	9.0	8.0	0.0
272	10.0	10.0	0.0
273	11.0	14.0	0.0
274	12.0	16.0	0.0
275	13.0	11.0	0.0
276	14.0	14.0	0.0
277	15.0	6.0	1.0
278	16.0	15.0	0.0
279	17.0	10.0	0.0
280	18.0	14.0	0.0
281	19.0	12.0	1.0
282	20.0	14.0	1.0
283	1.0	9.0	1.0
284	2.0	4.0	0.0
285	3.0	12.0	0.0
286	4.0	6.0	1.0
287	5.0	19.0	0.0
288	6.0	2.0	0.0
289	7.0	5.0	0.0
290	8.0	11.0	0.0
291	9.0	7.0	0.0
292	10.0	8.0	1.0
